User,"Gender (1 =F, 0=M)",260: Star Wars: Episode IV - A New Hope (1977),1210: Star Wars: Episode VI - Return of the Jedi (1983),356: Forrest Gump (1994),"318: Shawshank Redemption, The (1994)","593: Silence of the Lambs, The (1991)",3578: Gladiator (2000),1: Toy Story (1995),2028: Saving Private Ryan (1998),296: Pulp Fiction (1994),1259: Stand by Me (1986),2396: Shakespeare in Love (1998),2916: Total Recall (1990),780: Independence Day (ID4) (1996),541: Blade Runner (1982),1265: Groundhog Day (1993),"2571: Matrix, The (1999)",527: Schindler's List (1993),"2762: Sixth Sense, The (1999)",1198: Raiders of the Lost Ark (1981),34: Babe (1995),
755,0,1,5,2,,4,4,2,2,,3,2,,5,2,,4,2,5,,,
5277,0,5,3,,2,4,2,1,,,4,3,2,2,,2,,5,1,3,,
1577,1,,,,5,2,,4,,,1,,1,4,4,1,1,2,3,1,3,
4388,0,,3,,,,1,2,3,4,,,4,1,3,5,,5,1,1,2,
1202,1,4,3,4,1,4,1,,4,,1,5,1,,4,,3,5,5,,,
3823,1,2,4,4,4,,,3,1,4,4,5,2,4,,1,,,3,,2,
5448,0,,,3,1,1,4,,5,2,,1,,,3,,1,,,5,2,
5347,0,4,,,,3,2,2,,3,,,2,3,2,4,,1,3,5,,
4117,1,5,1,,4,2,4,4,4,,1,2,3,1,,5,,,,,5,
2765,0,4,2,,5,3,,4,3,4,,,,2,,,2,5,1,,,
5450,1,2,1,5,,,5,5,,,,,3,2,,,1,,2,1,4,
139,0,3,5,2,,2,,2,,1,,3,,3,,2,5,,,,2,
1940,0,2,3,,5,4,,4,5,,,,2,4,,3,,,,5,,
3118,1,3,,3,,2,,3,,,4,,1,2,2,3,5,1,,,,
4656,1,4,4,,,5,5,2,,3,5,,1,3,,2,,3,,3,1,
4796,1,,,1,,3,2,,2,,1,5,,,,5,2,2,4,3,4,
6037,0,,,,,4,,2,,2,,2,,,,,4,,,,,
3048,1,4,5,1,5,1,1,4,,5,,,,,4,,,2,1,2,5,
4790,0,5,1,,,,4,2,1,3,3,3,1,,,,2,,,,,
4489,0,1,2,2,4,5,,2,3,2,2,1,,,5,5,4,3,5,3,,
,PERCENT +4,0,0.357142857,0.3,0,0.4375,0.5,0.352941176,0.363636364,0.363636364,0.363636364,0.272727273,0.083333333,0.307692308,0.444444444,0.416666667,0.416666667,0.333333333,0.333333333,0.272727273,0.4,0.5
,ASS W/ TOY STORY,0,0.764705882,0.411764706,0.470588235,0.764705882,0.529411765,0,0.470588235,0.588235294,0.529411765,0.470588235,0.647058824,0.764705882,0.411764706,0.647058824,0.529411765,0.588235294,0.588235294,0.529411765,0.470588235,0.764705882
,CORRELATION,-0.119004526,-0.314504441,0.522912517,0,-0.568257571,0.253396382,0,0.596849191,0.709842214,-0.610300103,0.10176803,0.163796423,-0.069923018,0.329634257,-0.062858169,-0.721994872,-0.220315223,-0.245769576,-0.309066964,0,0.709842214
,FEMALE AVG PER MOVIE,3.428571429,3,3,3.8,2.714285714,3,3.571428571,2.75,4,2.428571429,4.25,1.714285714,2.666666667,3.5,2.833333333,2.4,2.5,3,2,3.428571429,
,MALE AVG PER MOVIE,3.125,3,2.25,3.4,3.333333333,2.833333333,2.3,3.142857143,2.625,3,2.142857143,2.2,2.857142857,3,3.5,3.142857143,3.5,2.666666667,3.666666667,2,
,FEMALE SUM,24,18,18,19,19,18,25,11,12,17,17,12,16,14,17,12,15,18,10,24,336
,MALE SUM,25,24,9,17,30,17,23,22,21,12,15,11,20,15,21,22,21,16,22,6,369
,FEMALE COUNT,7,6,6,5,7,6,7,4,3,7,4,7,6,4,6,5,6,6,5,7,114
,MALE COUNT,8,8,4,5,9,6,10,7,8,4,7,5,7,5,6,7,6,6,6,3,127
,,,,,,,,,,,,,,,,,,,,,,0
,FEMALE >=4,4,3,3,4,2,3,4,2,2,3,3,0,2,3,2,1,1,2,0,4,48
,MALE>=4,4,2,0,3,5,3,2,2,2,1,0,1,2,1,3,4,3,2,3,0,43
,TOT FEMALE,7,6,6,5,7,6,7,4,3,7,4,7,6,4,6,5,6,6,5,7,114
,TOT MALE,8,8,4,5,9,6,10,7,8,4,7,5,7,5,6,7,6,6,6,3,127
,,,,,,,,,,,,,,,,,,,,,,
,MEAN RATING,0,3,2.7,0,3.0625,2.916666667,2.823529412,3,3,2.636363636,2.909090909,1.916666667,2.769230769,3.222222222,3.166666667,2.833333333,3,2.833333333,2.909090909,3,3.222222222
,RATING COUNT,15,14,10,10,16,12,0,11,11,11,11,12,13,9,12,12,12,12,11,10,16
,,,,,,,,,,,,,,,,,,,,,,
,diff fem male avg,0.303571429,0,0.75,0.4,-0.619047619,0.166666667,1.271428571,-0.392857143,1.375,-0.571428571,2.107142857,-0.485714286,-0.19047619,0.5,-0.666666667,-0.742857143,-1,0.333333333,-1.666666667,1.428571429,-1.666666667
,diff fem male avg +4,0.071428571,0.25,0.5,0.2,-0.26984127,0,0.371428571,0.214285714,0.416666667,0.178571429,0.75,-0.2,0.047619048,0.55,-0.166666667,-0.371428571,-0.333333333,0,-0.5,0.571428571,-0.5
